,Name,global_id,TypeObject,AdmArea,District,Address,SeatsCount,Longitude_WGS84,Latitude_WGS84,geoData
9652,Shefshows by Novikov,832187404,кафе,Центральный административный округ,район Якиманка,"город Москва, улица Большая Якиманка, дом 22",30,37.61465667109088,55.73827606739123,"{type=Point, coordinates=[37.614656671090884, 55.73827606739123]}"
9655,Однажды в Самарканде,832187416,кафе,Северный административный округ,Головинский район,"город Москва, Кронштадтский бульвар, дом 9",30,37.48959286332544,55.84138469259002,"{type=Point, coordinates=[37.48959286332544, 55.84138469259002]}"
9656,Кафе-пекарня,832187417,кафе,Северный административный округ,Головинский район,"город Москва, Кронштадтский бульвар, дом 47",25,37.511735700332125,55.85209962293108,"{type=Point, coordinates=[37.51173570033213, 55.85209962293108]}"
9657,Веселый дрозд,832187420,кафе,Западный административный округ,район Проспект Вернадского,"город Москва, проспект Вернадского, дом 41, строение 3",43,37.50447532517433,55.6745863715415,"{type=Point, coordinates=[37.50447532517433, 55.6745863715415]}"
9662,Ночной клуб Эклипс,832187432,кафе,Восточный административный округ,район Восточное Измайлово,"город Москва, 15-я Парковая улица, дом 27",98,37.8185766331714,55.79874988018496,"{type=Point, coordinates=[37.81857663317141, 55.798749880184964]}"
9665,Кафе-столовая «Лапауза»,832187444,кафе,Южный административный округ,Даниловский район,"город Москва, Дербеневская улица, дом 20, строение 10",40,37.647694796741376,55.72170687125904,"{type=Point, coordinates=[37.647694796741376, 55.72170687125904]}"
9666,Пиццерия «Челентано»,832187449,кафе,Восточный административный округ,район Вешняки,"город Москва, улица Старый Гай, дом 8А",24,37.827740305232844,55.74028604266579,"{type=Point, coordinates=[37.827740305232844, 55.74028604266579]}"
9673,Пицца бар на Трофимова,832187468,кафе,Юго-Восточный административный округ,Южнопортовый район,"город Москва, улица Трофимова, дом 16, строение 2",30,37.66989500791854,55.70250951803865,"{type=Point, coordinates=[37.66989500791854, 55.70250951803866]}"
9674,Кафе,832187470,кафе,Южный административный округ,Даниловский район,"город Москва, улица Мастеркова, дом 4",40,37.656555126367806,55.70853784092306,"{type=Point, coordinates=[37.656555126367806, 55.708537840923064]}"
9675,Кафе «Максима»,832187471,кафе,Южный административный округ,Даниловский район,"город Москва, улица Мастеркова, дом 4",50,37.656555126367806,55.70853784092306,"{type=Point, coordinates=[37.656555126367806, 55.708537840923064]}"
9678,Лав Бургер,832187478,кафе,Южный административный округ,район Нагатинский Затон,"город Москва, Судостроительная улица, дом 32, корпус 1, строение 2",12,37.68659017296644,55.68295891017139,"{type=Point, coordinates=[37.68659017296644, 55.68295891017139]}"
9680,Кафе,832187480,кафе,Северо-Восточный административный округ,район Свиблово,"город Москва, Снежная улица, дом 13, корпус 1",18,37.64533040607082,55.85268342446143,"{type=Point, coordinates=[37.64533040607082, 55.85268342446143]}"
9682,КАФЕ,832187482,кафе,Северо-Восточный административный округ,район Ростокино,"город Москва, Сельскохозяйственная улица, дом 15, корпус 2",40,37.63756245190779,55.83667243810533,"{type=Point, coordinates=[37.63756245190779, 55.836672438105325]}"
9683,КАФЕ,832187484,кафе,Северо-Восточный административный округ,район Ростокино,"город Москва, Сельскохозяйственная улица, дом 17, корпус 1",40,37.636299722693536,55.837418357595205,"{type=Point, coordinates=[37.636299722693536, 55.837418357595205]}"
9687,Лепим и Варим,832187493,кафе,Центральный административный округ,Мещанский район,"город Москва, проспект Мира, дом 26, строение 1",82,37.63324479684793,55.7776821179525,"{type=Point, coordinates=[37.63324479684794, 55.7776821179525]}"
9693,Минская10,832187504,кафе,Западный административный округ,район Филёвский Парк,"город Москва, Минская улица, дом 10",28,37.48775036756585,55.73592637954278,"{type=Point, coordinates=[37.487750367565845, 55.73592637954278]}"
9694,Cofix,832187507,кафе,Центральный административный округ,Таганский район,"город Москва, улица Солянка, дом 2/6, строение 1",3,37.63659212092262,55.75398349021727,"{type=Point, coordinates=[37.63659212092262, 55.753983490217266]}"
9695,Lambic,832187508,кафе,Центральный административный округ,Таганский район,"город Москва, Верхняя Радищевская улица, дом 15, строение 1",50,37.652206241629436,55.743447646882295,"{type=Point, coordinates=[37.65220624162943, 55.743447646882295]}"
9696,Dominos Pizza,832187509,кафе,Центральный административный округ,Таганский район,"город Москва, Николоямская улица, дом 62",20,37.667609935104075,55.74632315407919,"{type=Point, coordinates=[37.667609935104075, 55.74632315407919]}"
9698,Russian Media Cafe,832187512,кафе,Северо-Западный административный округ,район Хорошёво-Мнёвники,"город Москва, 3-я Хорошёвская улица, дом 12",45,37.49934669340048,55.78745501747726,"{type=Point, coordinates=[37.499346693400476, 55.78745501747726]}"
9699,Кафетерий,832187513,кафе,Зеленоградский административный округ,район Матушкино,"город Москва, город Зеленоград, корпус 435А",3,37.2113224493082,55.996495172544996,"{type=Point, coordinates=[37.2113224493082, 55.996495172545]}"
9701,Кафе,832187516,кафе,Северный административный округ,район Ховрино,"город Москва, Смольная улица, дом 24Б",4,37.48388733924215,55.86051781769277,"{type=Point, coordinates=[37.483887339242145, 55.860517817692774]}"
9702,Прайм-кафе,832187517,кафе,Западный административный округ,район Филёвский Парк,"город Москва, Багратионовский проезд, дом 7, корпус 1",39,37.50183909811613,55.74225461788861,"{type=Point, coordinates=[37.50183909811613, 55.74225461788862]}"
9703,КАФЕ,832187519,кафе,Северо-Восточный административный округ,район Ростокино,"город Москва, улица Докукина, владение 2",12,37.65674289135536,55.837667310643184,"{type=Point, coordinates=[37.656742891355364, 55.837667310643184]}"
9704,Пончики,832187521,кафе,Восточный административный округ,район Новокосино,"город Москва, Новокосинская улица, дом 35",4,37.86631570161894,55.743558636607055,"{type=Point, coordinates=[37.86631570161894, 55.743558636607055]}"
