,Name,global_id,TypeObject,AdmArea,District,Address,SeatsCount,Longitude_WGS84,Latitude_WGS84,geoData
8635,Бар Сити Спейс,637549220,бар,Центральный административный округ,район Замоскворечье,"город Москва, Космодамианская набережная, дом 52, строение 6",90,37.64431895140277,55.73326179704195,"{type=Point, coordinates=[37.64431895140277, 55.73326179704195]}"
8636,Лобби-бар Лайтбар,637549222,бар,Центральный административный округ,район Замоскворечье,"город Москва, Космодамианская набережная, дом 52, строение 6",42,37.64431895140277,55.73326179704195,"{type=Point, coordinates=[37.64431895140277, 55.73326179704195]}"
8646,Дорогая я перезвоню,637549243,бар,Центральный административный округ,район Замоскворечье,"город Москва, Большой Строченовский переулок, дом 7",90,37.630874712979356,55.72907878887927,"{type=Point, coordinates=[37.63087471297935, 55.72907878887927]}"
8658,Хинкальная,637549267,бар,Центральный административный округ,Басманный район,"город Москва, Мясницкая улица, дом 16",30,37.632332705124895,55.7609939913909,"{type=Point, coordinates=[37.6323327051249, 55.7609939913909]}"
8660,Бургер герой пивной бар,637549272,бар,Центральный административный округ,район Замоскворечье,"город Москва, улица Большая Ордынка, дом 19, строение 2",76,37.626100717696566,55.741742838077066,"{type=Point, coordinates=[37.626100717696566, 55.74174283807707]}"
8693,Romanov Cinema,637549338,бар,Центральный административный округ,район Арбат,"город Москва, Романов переулок, дом 4, строение 2",20,37.609499462779326,55.75449864172862,"{type=Point, coordinates=[37.609499462779326, 55.75449864172862]}"
8694,Star Craft & Kitchen,637549340,бар,Центральный административный округ,Басманный район,"город Москва, улица Маросейка, дом 9/2, строение 6",90,37.63368311782273,55.75800493315808,"{type=Point, coordinates=[37.63368311782273, 55.758004933158084]}"
8698,Крейзи Дейзи,637549348,бар,Центральный административный округ,Красносельский район,"город Москва, Тургеневская площадь, дом 2",45,37.63581900673921,55.76545616863442,"{type=Point, coordinates=[37.63581900673922, 55.765456168634415]}"
8723,Калина бар,637549394,бар,Центральный административный округ,район Арбат,"город Москва, Новинский бульвар, дом 8",150,37.58416257585472,55.75133178650422,"{type=Point, coordinates=[37.58416257585472, 55.75133178650422]}"
8734,Бар «Стабильная линия»,637549413,бар,Центральный административный округ,Пресненский район,"город Москва, Большая Никитская улица, дом 12, строение 2",5,37.607175,55.756574,"{type=Point, coordinates=[37.607175, 55.756574]}"
8744,Сижу курю,637549432,бар,Центральный административный округ,Басманный район,"город Москва, улица Земляной Вал, дом 7",40,37.657577656371004,55.7624970618866,"{type=Point, coordinates=[37.657577656371, 55.7624970618866]}"
8758,Choice bar,637549459,бар,Центральный административный округ,Тверской район,"город Москва, улица Большая Дмитровка, дом 32, строение 1",46,37.61098964354608,55.765459706155525,"{type=Point, coordinates=[37.61098964354607, 55.765459706155525]}"
8787,Клуб «Моюз»,637549519,бар,Центральный административный округ,Таганский район,"город Москва, Николоямская улица, дом 23",40,37.65469334006342,55.74724091971165,"{type=Point, coordinates=[37.65469334006342, 55.74724091971165]}"
8794,Бар «Туше»,637549533,бар,Центральный административный округ,Пресненский район,"город Москва, Рочдельская улица, дом 15, строение 22",60,37.56275609597617,55.75560555419282,"{type=Point, coordinates=[37.56275609597617, 55.75560555419282]}"
8811,Магнум,637549572,бар,Зеленоградский административный округ,район Крюково,"город Москва, Лесная улица, дом 5",38,37.208447654708166,55.96756276423071,"{type=Point, coordinates=[37.208447654708166, 55.96756276423071]}"
8818,Мареа,637549583,бар,Центральный административный округ,Басманный район,"город Москва, Лубянский проезд, дом 15, строение 2",48,37.6320644842234,55.7568345945054,"{type=Point, coordinates=[37.6320644842234, 55.7568345945054]}"
8826,Duckstar's,637549600,бар,Центральный административный округ,Мещанский район,"город Москва, Нижний Кисельный переулок, дом 4",90,37.621224547617,55.7651463730682,"{type=Point, coordinates=[37.621224547617, 55.7651463730682]}"
8829,Бар 365,637549606,бар,Центральный административный округ,Тверской район,"город Москва, Цветной бульвар, дом 15, строение 1",5,37.62006498812735,55.77115550205578,"{type=Point, coordinates=[37.620064988127346, 55.77115550205578]}"
8848,Bar LosBandidos,637549642,бар,Центральный административный округ,Басманный район,"город Москва, улица Маросейка, дом 2/15, строение 1",80,37.63250650513795,55.757176268838535,"{type=Point, coordinates=[37.63250650513795, 55.757176268838535]}"
8850,Гадкий кайот,637549645,бар,Центральный административный округ,Тверской район,"город Москва, улица Большая Дмитровка, дом 13",120,37.61310701575052,55.7622255827563,"{type=Point, coordinates=[37.613107015750515, 55.7622255827563]}"
8916,P.Square,637549781,бар,Центральный административный округ,Тверской район,"город Москва, Тверская улица, дом 22",84,37.601088066691005,55.76766734042199,"{type=Point, coordinates=[37.60108806669101, 55.76766734042199]}"
8924,Бир Хаус Паб,637549793,бар,Центральный административный округ,Мещанский район,"город Москва, Цветной бульвар, дом 30, строение 1",80,37.6229713237147,55.7721735501608,"{type=Point, coordinates=[37.6229713237147, 55.7721735501608]}"
8940,Свинья и роза,637549828,бар,Центральный административный округ,Мещанский район,"город Москва, Трубная улица, дом 14",80,37.62495096806269,55.768896739554556,"{type=Point, coordinates=[37.6249509680627, 55.76889673955455]}"
8970,Лобби-бар,637549901,бар,Центральный административный округ,Тверской район,"город Москва, Страстной бульвар, дом 2",20,37.607053,55.765063,"{type=Point, coordinates=[37.607053, 55.765063]}"
8996,Бар «Mad Men Bar»,637550006,бар,Центральный административный округ,Пресненский район,"город Москва, Пресненская набережная, дом 2",50,37.53947052910406,55.74904096521795,"{type=Point, coordinates=[37.53947052910406, 55.74904096521795]}"
9090,Бар Виват,637550201,бар,Новомосковский административный округ,поселение Рязановское,"город Москва, поселение Рязановское, посёлок Ерино, дом 1",35,37.511275,55.44875028,"{type=Point, coordinates=[37.511275, 55.44875028]}"
9129,Бар столовой № 1,637550285,бар,Троицкий административный округ,поселение Вороновское,"город Москва, поселение Вороновское, вблизи посёлка ЛМС, дом 1Б/Н",36,37.197713,55.306107,"{type=Point, coordinates=[37.197713, 55.306107]}"
9130,Бар «Ракета»,637550287,бар,Троицкий административный округ,поселение Вороновское,"город Москва, поселение Вороновское, вблизи посёлка ЛМС, дом 1Б/Н",30,37.197713,55.306107,"{type=Point, coordinates=[37.197713, 55.306107]}"
9177,SiroccoСlub,637550382,бар,Новомосковский административный округ,поселение Московский,"город Москва, поселение Московский, Киевское шоссе, 22-й километр, домовладение 4, строение 2",24,37.436903,55.635035,"{type=Point, coordinates=[37.436903, 55.635035]}"
9275,Транзит времени,637552810,бар,Северо-Западный административный округ,район Строгино,"город Москва, улица Кулакова, дом 20, корпус 1",36,37.390665,55.803428,"{type=Point, coordinates=[37.390665, 55.803428]}"
9335,Винный бар Alma Valley,639249277,бар,Центральный административный округ,район Хамовники,"Погодинская улица, дом 4, строение 1",30,37.571013,55.734973,"{type=Point, coordinates=[37.571013, 55.734973]}"
9339,Рюмка Пива,639249298,бар,Центральный административный округ,Басманный район,"город Москва, улица Фридриха Энгельса, дом 21",12,37.68315535051811,55.77282206141401,"{type=Point, coordinates=[37.68315535051811, 55.77282206141401]}"
9340,Волчья Стая,639249301,бар,Центральный административный округ,Басманный район,"город Москва, Мясницкая улица, дом 38, строение 1",120,37.640150038050756,55.76613012167925,"{type=Point, coordinates=[37.640150038050756, 55.766130121679254]}"
9354,Мамуния,639249373,бар,Центральный административный округ,район Арбат,"город Москва, улица Арбат, дом 36/2, строение 1",65,37.5888682527611,55.74883711556409,"{type=Point, coordinates=[37.5888682527611, 55.7488371155641]}"
9371,Бар «Вирсар»,639249522,бар,Юго-Восточный административный округ,район Кузьминки,"город Москва, Волгоградский проспект, дом 54",14,37.752225173782975,55.70663885537328,"{type=Point, coordinates=[37.752225173782975, 55.70663885537328]}"
9374,ПтицаСиница,639249539,бар,Центральный административный округ,Басманный район,"город Москва, Большой Спасоглинищевский переулок, дом 3, строение 5",30,37.63516008815909,55.75644217793486,"{type=Point, coordinates=[37.63516008815909, 55.75644217793486]}"
9391,Hook Time,639249612,бар,Юго-Восточный административный округ,район Марьино,"город Москва, Батайский проезд, дом 63",30,37.74138455089504,55.6434553566846,"{type=Point, coordinates=[37.74138455089504, 55.64345535668459]}"
9433,Ирланский бар Сильверс,639249851,бар,Центральный административный округ,Басманный район,"город Москва, улица Машкова, дом 28/20, строение 1",46,37.65485424200006,55.76463054437207,"{type=Point, coordinates=[37.65485424200006, 55.76463054437207]}"
9437,Кальянная Отокомае,639249858,бар,Центральный административный округ,Мещанский район,"город Москва, Неглинная улица, дом 10",30,37.620473019077636,55.762098784734086,"{type=Point, coordinates=[37.62047301907764, 55.762098784734086]}"
9442,ГРИММ,639249871,бар,Центральный административный округ,Тверской район,"город Москва, улица Большая Дмитровка, дом 32, строение 1",28,37.61098964354608,55.765459706155525,"{type=Point, coordinates=[37.61098964354607, 55.765459706155525]}"
9447,Экспромт,639249887,бар,Центральный административный округ,Таганский район,"Школьная улица, дом 48, строение 1",85,37.680002977020735,55.729015942605834,"{type=Point, coordinates=[37.68000297702074, 55.72901594260584]}"
9512,Бар «Крафтъ 22»,645580959,бар,Юго-Западный административный округ,район Зюзино,"город Москва, Симферопольский бульвар, дом 22, корпус 1",32,37.604771123628346,55.64795784722233,"{type=Point, coordinates=[37.604771123628346, 55.64795784722233]}"
9513,Craft Station,645580962,бар,Центральный административный округ,Мещанский район,"город Москва, улица Рождественка, дом 6/9/20, строение 1",0,37.62380624834166,55.76143024851845,"{type=Point, coordinates=[37.62380624834166, 55.761430248518444]}"
9514,Пивбар 24 часа,645580967,бар,Восточный административный округ,район Ивановское,"город Москва, Саянская улица, дом 11А",0,37.833165701863415,55.76787688327386,"{type=Point, coordinates=[37.83316570186341, 55.767876883273864]}"
9515,Пить Есть,645580971,бар,Северо-Восточный административный округ,район Лианозово,"город Москва, Алтуфьевское шоссе, владение 97Б",25,37.58593907473613,55.90252986056152,"{type=Point, coordinates=[37.58593907473614, 55.90252986056152]}"
9516,ЗАКРЫТЫЙ КЛУБ «ГАРАЖ»,645580975,бар,Северо-Восточный административный округ,Бабушкинский район,"город Москва, улица Лётчика Бабушкина, дом 1, корпус 3",20,37.671534,55.854143,"{type=Point, coordinates=[37.671534, 55.854143]}"
9584,Бар-кальян КУРИЛЫ,832187155,бар,Северо-Восточный административный округ,район Отрадное,"город Москва, улица Декабристов, дом 4, корпус 1",30,37.58999163680796,55.86748413640847,"{type=Point, coordinates=[37.58999163680796, 55.86748413640847]}"
9587,BeerNation,832187185,бар,Центральный административный округ,Мещанский район,"город Москва, Малая Сухаревская площадь, дом 8",86,37.63008004202669,55.77268227405648,"{type=Point, coordinates=[37.6300800420267, 55.77268227405648]}"
9596,СушиStore,832187220,бар,Северный административный округ,район Аэропорт,"город Москва, улица Верхняя Масловка, дом 21",2,37.56053027664026,55.795896261399925,"{type=Point, coordinates=[37.56053027664026, 55.79589626139992]}"
9606,Пенный плен,832187249,бар,Восточный административный округ,район Измайлово,"город Москва, 7-я Парковая улица, дом 15, корпус 2",24,37.79145556431172,55.797820175418764,"{type=Point, coordinates=[37.79145556431172, 55.797820175418764]}"
9612,Пивной бар (Beer&Beard),832187268,бар,Северо-Западный административный округ,район Покровское-Стрешнево,"город Москва, проезд Стратонавтов, дом 9",30,37.43623996997459,55.826382839403735,"{type=Point, coordinates=[37.43623996997459, 55.826382839403735]}"
