,Unnamed: 0,Name,global_id,TypeObject,AdmArea,District,Address,SeatsCount,Longitude_WGS84,Latitude_WGS84,geoData,SeatClass
2853,9538,Школа,645581500,столовая,Центральный административный округ,Пресненский район,"город Москва, Причальный проезд, дом 7, строение 1",60,37.51769686558925,55.75934101066157,"{type=Point, coordinates=[37.51769686558925, 55.759341010661565]}",Маленький
2854,9539,Кофейный бандит,645581507,столовая,Центральный административный округ,Тверской район,"город Москва, Садовая-Самотёчная улица, дом 6, строение 1",22,37.613773451563,55.7727471654593,"{type=Point, coordinates=[37.613773451563, 55.77274716545931]}",Маленький
2855,9540,Кафе,645581511,столовая,Юго-Восточный административный округ,район Лефортово,"город Москва, шоссе Энтузиастов, дом 10/2",12,37.70330507074928,55.74850375947344,"{type=Point, coordinates=[37.70330507074928, 55.74850375947344]}",Маленький
2856,9547,ГОРЯЧАЯ ВЫПЕЧКА,645581668,столовая,Северо-Западный административный округ,район Покровское-Стрешнево,"город Москва, улица Мещерякова, дом 7, строение 1",4,37.449607433135206,55.83247826464165,"{type=Point, coordinates=[37.449607433135206, 55.83247826464165]}",Маленький
2857,9548,Буффет,645581716,столовая,Северо-Восточный административный округ,Бутырский район,"город Москва, улица Добролюбова, дом 3, строение 1",98,37.591625197727105,55.81025345663805,"{type=Point, coordinates=[37.59162519772711, 55.81025345663804]}",Средний
2858,9549,Пекарня Вкусная жизнь,645581719,столовая,Юго-Восточный административный округ,район Марьино,"город Москва, Братиславская улица, дом 14",10,37.7559075674351,55.65896009060589,"{type=Point, coordinates=[37.7559075674351, 55.65896009060589]}",Маленький
2859,9583,Столовая при общежитии,832187153,столовая,Южный административный округ,Даниловский район,"город Москва, Даниловская набережная, дом 4, корпус 1",20,37.64323044510309,55.70893912847375,"{type=Point, coordinates=[37.643230445103086, 55.70893912847375]}",Маленький
2860,9586,Комбинат питания МГТУ им. Н.Э. Баумана,832187162,столовая,Восточный административный округ,район Измайлово,"город Москва, Измайловский проспект, дом 75/1",70,37.793786680174364,55.78903949529104,"{type=Point, coordinates=[37.79378668017436, 55.789039495291036]}",Средний
2861,9614,Бистро,832187276,столовая,Северо-Западный административный округ,район Северное Тушино,"город Москва, Туристская улица, дом 31, корпус 1",0,37.41939020419952,55.85735046500447,"{type=Point, coordinates=[37.41939020419951, 55.857350465004465]}",Маленький
2862,9635,Пиццерия,832187350,столовая,Новомосковский административный округ,поселение Марушкинское,"город Москва, поселение Марушкинское, деревня Крёкшино, Советская улица, дом 25А",20,37.117703999999996,55.589581,"{type=Point, coordinates=[37.117704, 55.589581]}",Маленький
2863,9659,Столовая,832187423,столовая,Северо-Западный административный округ,район Хорошёво-Мнёвники,"город Москва, улица Народного Ополчения, дом 31",106,37.481120444998005,55.78479949987426,"{type=Point, coordinates=[37.48112044499801, 55.78479949987426]}",Средний
2864,9663,Комбинат питания МИТХТ «ИНФРАСТРУКТУРА Холдинг»,832187441,столовая,Западный административный округ,район Тропарёво-Никулино,"город Москва, проспект Вернадского, дом 86, строение 2",160,37.476012,55.66087699999991,"{type=Point, coordinates=[37.476012, 55.6608769999999]}",Большой
2865,9664,КОМБИНАТ ПИТАНИЯ МИРЭА,832187442,столовая,Западный административный округ,район Тропарёво-Никулино,"город Москва, проспект Вернадского, дом 78, строение 8",200,37.479006908995906,55.6723434067327,"{type=Point, coordinates=[37.4790069089959, 55.6723434067327]}",Большой
2866,9691,ФуллХаус,832187499,столовая,Центральный административный округ,Мещанский район,"город Москва, улица Щепкина, дом 58, строение 3",25,37.629797758897034,55.785091455913204,"{type=Point, coordinates=[37.629797758897034, 55.785091455913204]}",Маленький
